College Name,Accepted Skills,Projects
Faculty of Technology Indore,C | GraphQL | Kafka | MongoDB | Redis,Blockchain Wallet Demo | Course Planner | Crypto Arbitrage Bot | Fraud Detection | Scheduling System | Spam Filter | Traffic Simulation
Faculty of Technology Jabalpur,Azure | FastAPI | GCP | Matplotlib | PostgreSQL | RabbitMQ | TDD | Tailwind CSS,DB Index Visualizer | Fraud Detection | Job Portal | Log Parser | Memory Allocator Demo | Music Streaming Prototype | VR Gallery
Faculty of Technology Jaipur,Bash | Java | Kafka | Kotlin | MongoDB | OpenCV | PostgreSQL | Python | Socket.IO | TDD,Auto-Grader | Code Editor Lite | Event Ticketing | Image Classifier
Faculty of Technology Jodhpur,AWS | Agile | CI/CD | Elasticsearch | Go | MongoDB | Socket.IO | Tailwind CSS | Terraform,Compiler Tiny | Crypto Arbitrage Bot | Scheduling System | URL Shortener
Faculty of Technology Kochi,C++ | Flask | GraphQL | Java | Storybook | TDD,Anomaly Detector | E-Commerce Site | Memory Allocator Demo | Network Packet Sniffer | Search Engine Mini | Smart Attendance | Todo API
Faculty of Technology Kolkata,GCP | Kotlin | Linux | PostgreSQL | Rust | Socket.IO,Crypto Arbitrage Bot | Forum Platform | Smart Attendance | URL Shortener | VR Gallery | Weather Dashboard
Faculty of Technology Kozhikode,Agile | Bash | CI/CD | Linux | MongoDB | Node.js | PostgreSQL | PyTorch | Rust,Chat App | DB Index Visualizer | File Sharing Service | Handwriting OCR | Image Classifier | Traffic Simulation
Faculty of Technology Lucknow,Java | PyTorch | Rust | Storybook | TypeScript,Auto-Grader | Forum Platform | Memory Allocator Demo | Scheduling System
Faculty of Technology Madurai,Bash | C | Matplotlib | NumPy | Redis | Tailwind CSS,Edge Caching Simulator | Job Portal | Regex Visualizer | Todo API
Faculty of Technology Mumbai,Agile | CI/CD | Express | FastAPI | Go | GraphQL | Java | PyTorch | Storybook | TypeScript,Crypto Arbitrage Bot | Face Detection Tool | News Aggregator | Note Taking App | Scheduling System | Smart Attendance | Traffic Simulation
Faculty of Technology Mysuru,C++ | GCP | GraphQL | Node.js | Rust | Tailwind CSS | Terraform,E-Commerce Site | Expense Splitter | Fitness Tracker | Music Streaming Prototype | Portfolio Website
Faculty of Technology Nagpur,Agile | Azure | CI/CD | Kubernetes | OpenCV | RabbitMQ | Swift | scikit-learn,Anomaly Detector | Compiler Tiny | Fitness Tracker | Search Engine Mini | Social Graph Analyzer
Faculty of Technology Noida,Azure | C | Linux | NumPy | PyTorch,Anomaly Detector | Blockchain Wallet Demo | Crypto Arbitrage Bot | Map Routing App
Faculty of Technology Ongole,AWS | CI/CD | Kubernetes | MongoDB | Pandas | RabbitMQ | Socket.IO | TDD | Terraform | scikit-learn,DB Index Visualizer | Gesture Recognition | Log Parser | News Aggregator | Quiz App | Social Graph Analyzer | Stock Price Tracker
Faculty of Technology Patna,Agile | Azure | MongoDB | OpenCV | RabbitMQ | Rust,Edge Caching Simulator | Regex Visualizer | Smart Attendance | Social Graph Analyzer | Spam Filter | Todo API
Faculty of Technology Pune,Express | Matplotlib | MongoDB | RabbitMQ | Socket.IO,Anomaly Detector | Fitness Tracker | Handwriting OCR | Multi-tenant SaaS | News Aggregator
Faculty of Technology Quilon,AWS | Bash | C | Linux | PyTorch,Course Planner | Event Ticketing | Fitness Tracker | Music Streaming Prototype | Network Packet Sniffer | URL Shortener
Faculty of Technology Raipur,Azure | CI/CD | GCP | Redis | Tailwind CSS,Edge Caching Simulator | File Sharing Service | Image Classifier | Network Packet Sniffer | Note Taking App
Faculty of Technology Ranchi,CI/CD | Express | FastAPI | Kafka | Pandas | Redis,Code Editor Lite | Crypto Arbitrage Bot | Sentiment Analyzer | URL Shortener
Faculty of Technology Salem,C | CI/CD | Docker | GCP | Java | PostgreSQL | React | scikit-learn,AR Ruler | Gesture Recognition | Log Parser | Quiz App | Speech-to-Text | Weather Dashboard
Faculty of Technology Surat,Agile | GraphQL | Kubernetes | MongoDB | Pandas | React | Redis | Rust | TDD | TensorFlow,Code Editor Lite | Course Planner | Forum Platform | Gesture Recognition
Faculty of Technology Thane,AWS | Elasticsearch | Git | Kafka | Python | React | Rust | TDD | TensorFlow,Image Classifier | Memory Allocator Demo | Regex Visualizer | Speech-to-Text | URL Shortener
Faculty of Technology Thiruvananthapuram,AWS | Azure | Bash | Kafka | MongoDB | NumPy | OpenCV | PostgreSQL | Python | Tailwind CSS,Anomaly Detector | Blog CMS | Chat App | Fitness Tracker | VR Gallery
Faculty of Technology Thrissur,C++ | Java | PyTorch | Python | RabbitMQ,Compiler Tiny | Course Planner | DB Index Visualizer | Expense Splitter | Forum Platform | Sentiment Analyzer | Todo API
Faculty of Technology Trichy,CI/CD | Git | Java | Kotlin | Node.js | RabbitMQ | TypeScript,Course Planner | Portfolio Website | Scheduling System | Todo API
Faculty of Technology Udaipur,Agile | Express | Kotlin | Kubernetes | Socket.IO | Terraform,Expense Splitter | Fitness Tracker | Music Streaming Prototype | Note Taking App | Quiz App
Faculty of Technology Varanasi,Bash | Java | Kotlin | PostgreSQL | Rust | TensorFlow | Terraform,AR Ruler | Anomaly Detector | IoT Sensor Monitor | Music Streaming Prototype | Note Taking App | Smart Attendance | Weather Dashboard
Faculty of Technology Vijayawada,CI/CD | Kafka | Pandas | RabbitMQ | Storybook | scikit-learn,Image Classifier | Memory Allocator Demo | Music Streaming Prototype | Regex Visualizer | Smart Attendance | Social Graph Analyzer | Todo API
Faculty of Technology Visakhapatnam,AWS | C | GCP | Kafka | Kubernetes | PyTorch | Redis | Storybook,Compiler Tiny | Fraud Detection | Spam Filter | Weather Dashboard
Faculty of Technology Warangal,FastAPI | Go | Java | OpenCV | PyTorch | TensorFlow,Event Ticketing | Log Parser | Memory Allocator Demo | URL Shortener | VR Gallery | Weather Dashboard
Faculty of Technology Xavierabad,AWS | Docker | FastAPI | GCP | GraphQL | Kafka | RabbitMQ,Blockchain Wallet Demo | Course Planner | Network Packet Sniffer | Speech-to-Text
Faculty of Technology Yamunanagar,AWS | GraphQL | Java | MongoDB | OpenCV,Anomaly Detector | Fraud Detection | Gesture Recognition | Social Graph Analyzer | Speech-to-Text
Faculty of Technology Zirakpur,Bash | FastAPI | OpenCV | Pandas | PostgreSQL | React | Swift | TypeScript,Face Detection Tool | Log Parser | Note Taking App | Recommendation Engine | Search Engine Mini | Social Graph Analyzer
Faridabad Academy of Science,Agile | C++ | CI/CD | Express | FastAPI | Kafka | TensorFlow | scikit-learn,DB Index Visualizer | Recommendation Engine | Search Engine Mini | Sentiment Analyzer
Faridabad Center for AI,AWS | FastAPI | Kotlin | Node.js | OpenCV | PyTorch | TDD,Code Editor Lite | Edge Caching Simulator | Fraud Detection | Note Taking App | Scheduling System | Spam Filter | Weather Dashboard
Faridabad Center for Data Science,C++ | Django | Java | Kubernetes | Linux | MongoDB | Socket.IO | TDD,Chat App | Event Ticketing | Map Routing App | Todo API | VR Gallery
Faridabad College,Azure | Docker | Express | Flask | GCP | Git,Anomaly Detector | Crypto Arbitrage Bot | Log Parser | Regex Visualizer | Traffic Simulation
Faridabad College of Computing,Agile | Azure | C | CI/CD | Flask | Matplotlib | Pandas | Rust,Log Parser | Memory Allocator Demo | News Aggregator | Quiz App
Faridabad College of Information Sciences,Express | Matplotlib | RabbitMQ | React | TensorFlow,Blockchain Wallet Demo | Blog CMS | Fitness Tracker | Fraud Detection
Faridabad Institute of Technology,Agile | C | CI/CD | Django | Kotlin | PostgreSQL | Storybook,Blog CMS | Gesture Recognition | Image Classifier | Quiz App | Spam Filter
Faridabad Polytechnic,Bash | C | Express | GCP | GraphQL | Java | Kafka | MongoDB | Python | React,E-Commerce Site | Event Ticketing | Gesture Recognition | Memory Allocator Demo | Note Taking App | Speech-to-Text | Stock Price Tracker
Faridabad School of Engineering,Express | Git | Kubernetes | OpenCV | PostgreSQL,E-Commerce Site | Event Ticketing | Multi-tenant SaaS | Music Streaming Prototype | Network Packet Sniffer
Faridabad University,Azure | C | FastAPI | MongoDB | OpenCV | Redis | Swift | TypeScript,DB Index Visualizer | E-Commerce Site | Gesture Recognition | Handwriting OCR | Quiz App | Search Engine Mini | Social Graph Analyzer
Global College of Computing Aaravpur,Azure | Docker | OpenCV | RabbitMQ | Socket.IO | Tailwind CSS,DB Index Visualizer | Event Ticketing | Fraud Detection | Memory Allocator Demo | Note Taking App | Smart Attendance | Stock Price Tracker
Global College of Computing Amritsar,Docker | GCP | Go | Java | MongoDB | NumPy | React | Redis | Rust | Terraform,Chat App | Fitness Tracker | Memory Allocator Demo | Network Packet Sniffer | News Aggregator | Scheduling System | Stock Price Tracker
Global College of Computing Baroda,AWS | Azure | Django | NumPy | OpenCV | Pandas | PostgreSQL | PyTorch,DB Index Visualizer | Job Portal | Music Streaming Prototype | Quiz App
Global College of Computing Belagavi,Agile | Bash | GCP | Go | Kubernetes | TDD | TensorFlow | TypeScript | scikit-learn,Blockchain Wallet Demo | Chat App | Code Editor Lite | Event Ticketing | Portfolio Website | Quiz App
Global College of Computing Bengaluru,CI/CD | Elasticsearch | Kafka | Linux | PyTorch | Socket.IO | TensorFlow,Chat App | Course Planner | File Sharing Service | Music Streaming Prototype | Recommendation Engine | Scheduling System
Global College of Computing Bhopal,Bash | C | Elasticsearch | Express | FastAPI | Git | Kubernetes | Swift | Tailwind CSS,Face Detection Tool | File Sharing Service | Search Engine Mini | Smart Attendance | Speech-to-Text
Global College of Computing Chandipur,Django | GCP | Linux | Matplotlib | Node.js | NumPy | PostgreSQL | Rust | TypeScript | scikit-learn,Compiler Tiny | Log Parser | Music Streaming Prototype | Spam Filter
Global College of Computing Chennai,Agile | Azure | C | Express | Git | Redis,Code Editor Lite | Compiler Tiny | Course Planner | Fitness Tracker | Spam Filter
Global College of Computing Coimbatore,AWS | Bash | C++ | Docker | Express | MongoDB | PostgreSQL | React | Tailwind CSS | TypeScript,AR Ruler | Code Editor Lite | Event Ticketing | Social Graph Analyzer
Global College of Computing Dehradun,AWS | Bash | C | Docker | Kotlin | RabbitMQ | Tailwind CSS,Map Routing App | Memory Allocator Demo | Social Graph Analyzer | Traffic Simulation | VR Gallery
Global College of Computing Ernakulam,Docker | Git | Go | Kotlin | NumPy | PostgreSQL | TDD,Forum Platform | Gesture Recognition | Map Routing App | Music Streaming Prototype | Recommendation Engine | Speech-to-Text
Global College of Computing Faridabad,Elasticsearch | GraphQL | Kafka | Linux | Node.js | NumPy | Pandas | TDD | Tailwind CSS | Terraform,Blockchain Wallet Demo | Event Ticketing | Gesture Recognition | Music Streaming Prototype | Quiz App | VR Gallery
Global College of Computing Gurugram,Docker | GraphQL | MongoDB | React | Storybook | scikit-learn,AR Ruler | Auto-Grader | Crypto Arbitrage Bot | Search Engine Mini | Sentiment Analyzer | Smart Attendance | Todo API
Global College of Computing Guwahati,Docker | GCP | Go | Kafka | Kubernetes | Node.js | RabbitMQ,Face Detection Tool | Job Portal | Multi-tenant SaaS | Regex Visualizer | Weather Dashboard
Global College of Computing Gwalior,Express | Kotlin | Kubernetes | Node.js | TensorFlow | scikit-learn,E-Commerce Site | Face Detection Tool | Forum Platform | Scheduling System
Global College of Computing Hubballi,Flask | Go | Kubernetes | Node.js | Python | RabbitMQ | React | Redis | TDD,Crypto Arbitrage Bot | Note Taking App | Todo API | URL Shortener
Global College of Computing Hyderabad,Git | Go | Java | Kafka | Python | RabbitMQ | Redis | Swift | TDD | scikit-learn,Blog CMS | Code Editor Lite | Sentiment Analyzer | URL Shortener | Weather Dashboard
Global College of Computing Indore,Agile | Azure | Bash | CI/CD | FastAPI | Kubernetes | Matplotlib | Pandas | RabbitMQ | TDD,Blog CMS | Code Editor Lite | DB Index Visualizer | IoT Sensor Monitor | Network Packet Sniffer | URL Shortener
Global College of Computing Jabalpur,AWS | Django | Go | Kotlin | MongoDB | Python,AR Ruler | Expense Splitter | Recommendation Engine | Traffic Simulation
Global College of Computing Jaipur,Matplotlib | PostgreSQL | Rust | Storybook | scikit-learn,AR Ruler | Auto-Grader | Expense Splitter | Image Classifier | Note Taking App | Spam Filter
Global College of Computing Jodhpur,C | FastAPI | Go | GraphQL | Matplotlib | PyTorch | TensorFlow,AR Ruler | Face Detection Tool | Fraud Detection | Image Classifier | VR Gallery
Global College of Computing Kochi,Flask | MongoDB | Python | Rust | TDD,Face Detection Tool | IoT Sensor Monitor | Spam Filter | VR Gallery
Global College of Computing Kolkata,Express | Flask | Kotlin | Matplotlib | NumPy | OpenCV | RabbitMQ | Rust | Storybook,Course Planner | Fraud Detection | Image Classifier | Map Routing App | Note Taking App | Portfolio Website | Smart Attendance
Global College of Computing Kozhikode,AWS | C++ | GCP | Kafka | MongoDB | OpenCV | Rust | Terraform,DB Index Visualizer | Edge Caching Simulator | Handwriting OCR | Quiz App | Scheduling System | Speech-to-Text
Global College of Computing Lucknow,Docker | Kafka | Kubernetes | Linux | Matplotlib | NumPy | React | TDD | TensorFlow,Blog CMS | File Sharing Service | Job Portal | Memory Allocator Demo | URL Shortener | Weather Dashboard
Global College of Computing Madurai,Agile | FastAPI | Node.js | OpenCV | PostgreSQL | Redis,DB Index Visualizer | E-Commerce Site | IoT Sensor Monitor | News Aggregator | Social Graph Analyzer | Stock Price Tracker
Global College of Computing Mumbai,Azure | C++ | GCP | OpenCV | Tailwind CSS | TensorFlow,Compiler Tiny | Memory Allocator Demo | Scheduling System | Todo API
Global College of Computing Mysuru,AWS | CI/CD | FastAPI | Git | Linux | Python | Rust | TensorFlow,DB Index Visualizer | Map Routing App | Quiz App | Search Engine Mini
Global College of Computing Nagpur,Agile | C++ | CI/CD | FastAPI | Kafka | Socket.IO | Terraform,Course Planner | Crypto Arbitrage Bot | Memory Allocator Demo | Scheduling System | Todo API | Weather Dashboard
Global College of Computing Noida,Express | FastAPI | Flask | Kafka | Linux | RabbitMQ | Redis | Swift | TDD | TypeScript,Face Detection Tool | File Sharing Service | Job Portal | Quiz App
Global College of Computing Ongole,Elasticsearch | Matplotlib | MongoDB | TDD | Tailwind CSS | Terraform | TypeScript,Anomaly Detector | Music Streaming Prototype | Regex Visualizer | Social Graph Analyzer | VR Gallery
Global College of Computing Patna,Express | GraphQL | Kubernetes | Node.js | PyTorch | RabbitMQ | Rust | TypeScript,Fitness Tracker | Handwriting OCR | IoT Sensor Monitor | Music Streaming Prototype | Social Graph Analyzer
Global College of Computing Pune,C | Docker | Express | PostgreSQL | TensorFlow | scikit-learn,Compiler Tiny | Memory Allocator Demo | News Aggregator | Sentiment Analyzer
Global College of Computing Quilon,C++ | CI/CD | Kotlin | Node.js | Python | RabbitMQ | React | Socket.IO | Storybook,Blockchain Wallet Demo | E-Commerce Site | Network Packet Sniffer | News Aggregator | Portfolio Website
Global College of Computing Raipur,Azure | C | C++ | Go | PyTorch | RabbitMQ,Face Detection Tool | Image Classifier | Quiz App | Search Engine Mini | Smart Attendance
Global College of Computing Ranchi,Elasticsearch | Express | FastAPI | GCP | Git | Kotlin | Kubernetes | Swift | scikit-learn,Blog CMS | Course Planner | DB Index Visualizer | News Aggregator | Quiz App | URL Shortener | Weather Dashboard
Global College of Computing Salem,AWS | Docker | Elasticsearch | Go | GraphQL | NumPy | OpenCV | PostgreSQL | Rust | TypeScript,Blockchain Wallet Demo | Music Streaming Prototype | Network Packet Sniffer | VR Gallery
Global College of Computing Surat,Agile | C | Flask | Kubernetes | PostgreSQL | Swift | scikit-learn,Chat App | Event Ticketing | Forum Platform | Fraud Detection | Note Taking App | Portfolio Website | Sentiment Analyzer
Global College of Computing Thane,AWS | Express | GraphQL | MongoDB | OpenCV | Pandas | Redis | Tailwind CSS,Auto-Grader | DB Index Visualizer | Memory Allocator Demo | Music Streaming Prototype | Sentiment Analyzer | Speech-to-Text | VR Gallery
Global College of Computing Thiruvananthapuram,Azure | Django | Git | Go | Kafka | Node.js | Python | Tailwind CSS | scikit-learn,Image Classifier | IoT Sensor Monitor | Note Taking App | Scheduling System
Global College of Computing Thrissur,AWS | Elasticsearch | Storybook | TensorFlow | TypeScript,DB Index Visualizer | Fraud Detection | Smart Attendance | Social Graph Analyzer
Global College of Computing Trichy,Bash | Flask | GCP | MongoDB | NumPy | PyTorch | Python | Storybook,Anomaly Detector | Blockchain Wallet Demo | Fitness Tracker | Forum Platform | Music Streaming Prototype | Portfolio Website | Todo API
Global College of Computing Udaipur,C | Docker | Flask | Go | MongoDB | Python | Socket.IO | Storybook | Tailwind CSS | scikit-learn,Auto-Grader | Gesture Recognition | Sentiment Analyzer | Stock Price Tracker
Global College of Computing Varanasi,AWS | C | Flask | Go | Kafka | Storybook | TDD | Tailwind CSS,Blog CMS | Handwriting OCR | Job Portal | Note Taking App
Global College of Computing Vijayawada,Azure | C | Express | Pandas | Rust | scikit-learn,Network Packet Sniffer | Note Taking App | Quiz App | Scheduling System | Speech-to-Text
Global College of Computing Visakhapatnam,Azure | Bash | C++ | Django | Kubernetes | NumPy | Python | Redis | TDD,AR Ruler | DB Index Visualizer | E-Commerce Site | Search Engine Mini | Spam Filter
Global College of Computing Warangal,C | Java | Linux | PyTorch | Python | Socket.IO | Storybook,Anomaly Detector | Chat App | File Sharing Service | Fitness Tracker | Search Engine Mini | Stock Price Tracker | URL Shortener
Global College of Computing Xavierabad,Agile | Bash | C++ | Flask | Go | NumPy | RabbitMQ | Redis,AR Ruler | Course Planner | Crypto Arbitrage Bot | Map Routing App | Note Taking App
Global College of Computing Yamunanagar,C | FastAPI | Git | Python | Swift | scikit-learn,Chat App | Code Editor Lite | Course Planner | News Aggregator | Scheduling System
Global College of Computing Zirakpur,AWS | Azure | FastAPI | Linux | Socket.IO,File Sharing Service | Handwriting OCR | Quiz App | Traffic Simulation
Gurugram Academy of Science,Kafka | Kubernetes | Storybook | TDD | TensorFlow,IoT Sensor Monitor | Job Portal | Multi-tenant SaaS | Portfolio Website | Regex Visualizer | URL Shortener
Gurugram Center for AI,Bash | Docker | FastAPI | Kafka | NumPy | PostgreSQL | Python | Tailwind CSS | Terraform | TypeScript,Compiler Tiny | Crypto Arbitrage Bot | Spam Filter | Weather Dashboard
Gurugram Center for Data Science,Kotlin | Matplotlib | PostgreSQL | Redis | TDD | TensorFlow,Anomaly Detector | Code Editor Lite | Map Routing App | Quiz App | Social Graph Analyzer | Spam Filter
Gurugram College,Bash | C | Docker | Elasticsearch | Rust | TensorFlow | TypeScript | scikit-learn,Chat App | Map Routing App | Portfolio Website | Quiz App | Spam Filter | Traffic Simulation
Gurugram College of Computing,Agile | Express | Kubernetes | MongoDB | Node.js | OpenCV | Pandas | Terraform,Chat App | Code Editor Lite | Todo API | URL Shortener
Gurugram College of Information Sciences,Azure | Bash | Go | GraphQL | Linux,Course Planner | Crypto Arbitrage Bot | File Sharing Service | Handwriting OCR | Job Portal | Quiz App
Gurugram Institute of Technology,Azure | GCP | Go | Matplotlib | NumPy | React | Redis | Storybook,Compiler Tiny | File Sharing Service | Sentiment Analyzer | Traffic Simulation
Gurugram Polytechnic,Azure | CI/CD | Git | NumPy | PyTorch,Multi-tenant SaaS | Network Packet Sniffer | Search Engine Mini | Social Graph Analyzer | Spam Filter | Weather Dashboard
Gurugram School of Engineering,C | CI/CD | Docker | Express | Matplotlib | PyTorch,DB Index Visualizer | Expense Splitter | Quiz App | Todo API
Gurugram University,AWS | C | Elasticsearch | GCP | Kotlin | MongoDB | PyTorch | Tailwind CSS,Blog CMS | File Sharing Service | IoT Sensor Monitor | Log Parser | Map Routing App
Guwahati Academy of Science,Agile | Bash | C++ | Git | GraphQL | Linux | Terraform,Forum Platform | IoT Sensor Monitor | Portfolio Website | Scheduling System | Spam Filter | Stock Price Tracker
Guwahati Center for AI,Agile | Java | Kotlin | Matplotlib | RabbitMQ | scikit-learn,Code Editor Lite | Face Detection Tool | Fitness Tracker | Forum Platform | Music Streaming Prototype | Note Taking App | Todo API
Guwahati Center for Data Science,Docker | GCP | Kafka | Kotlin | Matplotlib | MongoDB | Pandas | React,Compiler Tiny | E-Commerce Site | Expense Splitter | Handwriting OCR | Music Streaming Prototype | Quiz App | Traffic Simulation
Guwahati College,Docker | Go | Kotlin | Redis | Rust | TDD | TypeScript,Blog CMS | Forum Platform | News Aggregator | Recommendation Engine | Smart Attendance | VR Gallery
Guwahati College of Computing,Azure | Bash | Elasticsearch | Git | Linux | MongoDB | PostgreSQL | Swift,Anomaly Detector | Blockchain Wallet Demo | Code Editor Lite | Gesture Recognition | Log Parser
Guwahati College of Information Sciences,Agile | Flask | Go | Linux | Pandas,Event Ticketing | Fitness Tracker | Note Taking App | Portfolio Website | Sentiment Analyzer | VR Gallery | Weather Dashboard
Guwahati Institute of Technology,Java | NumPy | PostgreSQL | Redis | Tailwind CSS | TensorFlow,Auto-Grader | Chat App | IoT Sensor Monitor | Portfolio Website
Guwahati Polytechnic,FastAPI | GCP | Go | MongoDB | Pandas,Chat App | Forum Platform | Regex Visualizer | Weather Dashboard
Guwahati School of Engineering,Bash | CI/CD | Express | Go | MongoDB | Node.js | PostgreSQL | Terraform,Anomaly Detector | Course Planner | Handwriting OCR | News Aggregator | Smart Attendance | Stock Price Tracker
Guwahati University,Django | Elasticsearch | Go | Java | OpenCV | RabbitMQ | Tailwind CSS,Blockchain Wallet Demo | Blog CMS | Code Editor Lite | Fitness Tracker | Quiz App
Hyderabad Academy of Science,C | Docker | Elasticsearch | GraphQL | Linux | MongoDB | Storybook | Tailwind CSS,Anomaly Detector | Compiler Tiny | Crypto Arbitrage Bot | File Sharing Service | Fraud Detection
Hyderabad Center for AI,AWS | CI/CD | FastAPI | GraphQL | Java | Linux | RabbitMQ | Socket.IO | Swift | Tailwind CSS,Code Editor Lite | Expense Splitter | Fraud Detection | Handwriting OCR | Portfolio Website | Stock Price Tracker
Hyderabad Center for Data Science,AWS | Bash | Kafka | PyTorch | RabbitMQ | Storybook | Tailwind CSS | TensorFlow,Face Detection Tool | Forum Platform | Quiz App | Recommendation Engine | Stock Price Tracker | Todo API
Hyderabad College,C | CI/CD | Java | Kafka | Kubernetes | Linux | Matplotlib | Rust | Swift,Compiler Tiny | Face Detection Tool | Fraud Detection | Map Routing App | Recommendation Engine | Speech-to-Text
Hyderabad College of Computing,Django | GraphQL | Java | Kotlin | Node.js | OpenCV | Rust | Socket.IO | Swift | Tailwind CSS,AR Ruler | Event Ticketing | File Sharing Service | Image Classifier | Memory Allocator Demo | Network Packet Sniffer
Hyderabad College of Information Sciences,C | Django | MongoDB | PostgreSQL | PyTorch | Python | React | TypeScript,Auto-Grader | News Aggregator | Note Taking App | Speech-to-Text | Traffic Simulation | URL Shortener | Weather Dashboard
Hyderabad Institute of Technology,AWS | C++ | Kubernetes | Redis | Rust | TensorFlow | scikit-learn,Anomaly Detector | Code Editor Lite | File Sharing Service | Fraud Detection | Music Streaming Prototype | URL Shortener | VR Gallery
Hyderabad Polytechnic,Azure | C | CI/CD | GraphQL | OpenCV | Pandas | RabbitMQ | React | Tailwind CSS | TypeScript,Anomaly Detector | Blockchain Wallet Demo | Edge Caching Simulator | Regex Visualizer
Hyderabad School of Engineering,AWS | Flask | GCP | Node.js | NumPy | Python | Storybook | TypeScript,Event Ticketing | Expense Splitter | File Sharing Service | Job Portal | Spam Filter | Speech-to-Text
Hyderabad University,Bash | Express | Java | Matplotlib | MongoDB | Pandas | Redis | Storybook | scikit-learn,Chat App | File Sharing Service | Forum Platform | Network Packet Sniffer | Note Taking App | Todo API
Indian Institute of Information Technology Aaravpur,Bash | Express | Flask | Go | Rust | Storybook,Anomaly Detector | Blog CMS | DB Index Visualizer | Recommendation Engine | Sentiment Analyzer
Indian Institute of Information Technology Amritsar,AWS | C++ | Express | Kafka | Kubernetes | OpenCV | Redis | Socket.IO | scikit-learn,Anomaly Detector | Face Detection Tool | Fraud Detection | Music Streaming Prototype | Note Taking App | Regex Visualizer | Todo API
Indian Institute of Information Technology Baroda,Agile | C++ | Kafka | Socket.IO | Swift | scikit-learn,Job Portal | Network Packet Sniffer | Regex Visualizer | Sentiment Analyzer | Spam Filter
Indian Institute of Information Technology Belagavi,Kafka | Kotlin | Linux | Pandas | Socket.IO | Terraform,Chat App | IoT Sensor Monitor | Memory Allocator Demo | Note Taking App | Regex Visualizer | Stock Price Tracker
Indian Institute of Information Technology Bengaluru,Agile | Django | Docker | Git | GraphQL | OpenCV | PyTorch | React | Storybook | Tailwind CSS,Course Planner | File Sharing Service | Fitness Tracker | Fraud Detection | Smart Attendance
Indian Institute of Information Technology Bhopal,AWS | C++ | GCP | Git | Java | Kafka | Matplotlib | Pandas | PostgreSQL,Course Planner | Gesture Recognition | Portfolio Website | Smart Attendance | Social Graph Analyzer | Stock Price Tracker | Traffic Simulation
Indian Institute of Information Technology Chandipur,Git | Node.js | Python | React | Redis | TypeScript,Auto-Grader | Expense Splitter | Fitness Tracker | News Aggregator | Note Taking App | VR Gallery
Indian Institute of Information Technology Chennai,Bash | Django | Pandas | Tailwind CSS | Terraform,Anomaly Detector | Compiler Tiny | Forum Platform | Multi-tenant SaaS | Recommendation Engine
Indian Institute of Information Technology Coimbatore,Azure | Bash | C | Git | PostgreSQL | Socket.IO | Tailwind CSS | TensorFlow,File Sharing Service | Job Portal | Music Streaming Prototype | Weather Dashboard
Indian Institute of Information Technology Dehradun,Bash | C++ | CI/CD | Django | Docker | Flask | Go | Kotlin | Pandas,Compiler Tiny | Forum Platform | Gesture Recognition | Recommendation Engine | Todo API | VR Gallery
Indian Institute of Information Technology Ernakulam,GCP | Git | GraphQL | OpenCV | TensorFlow,Course Planner | Map Routing App | Multi-tenant SaaS | Music Streaming Prototype | Regex Visualizer | Sentiment Analyzer | Weather Dashboard
Indian Institute of Information Technology Faridabad,Bash | Django | Docker | Express | Flask | Kafka | MongoDB | NumPy | React | Tailwind CSS,Chat App | Job Portal | Network Packet Sniffer | Scheduling System | Speech-to-Text
Indian Institute of Information Technology Gurugram,C | C++ | Django | Express | Java | Matplotlib | Python | RabbitMQ | Socket.IO | Swift,Blockchain Wallet Demo | Fraud Detection | Network Packet Sniffer | Note Taking App | Spam Filter
Indian Institute of Information Technology Guwahati,Agile | FastAPI | MongoDB | Node.js | OpenCV | PostgreSQL | Redis | Socket.IO | Storybook,Course Planner | IoT Sensor Monitor | Spam Filter | Todo API
Indian Institute of Information Technology Gwalior,AWS | CI/CD | Django | PostgreSQL | Swift,DB Index Visualizer | Forum Platform | Handwriting OCR | Stock Price Tracker
Indian Institute of Information Technology Hubballi,FastAPI | GCP | Git | GraphQL | Linux | MongoDB | Python | Storybook | Tailwind CSS | scikit-learn,Map Routing App | Music Streaming Prototype | Recommendation Engine | Search Engine Mini
Indian Institute of Information Technology Hyderabad,AWS | Django | Elasticsearch | Express | FastAPI | Matplotlib | MongoDB | Python | Storybook,AR Ruler | Blockchain Wallet Demo | Sentiment Analyzer | Speech-to-Text
Indian Institute of Information Technology Indore,Kubernetes | NumPy | OpenCV | RabbitMQ | Rust | scikit-learn,Blockchain Wallet Demo | Chat App | Network Packet Sniffer | Todo API | VR Gallery
Indian Institute of Information Technology Jabalpur,Bash | GCP | Go | Java | Kafka | MongoDB | React | Rust | TypeScript,Auto-Grader | Compiler Tiny | File Sharing Service | Fraud Detection | Memory Allocator Demo | Portfolio Website | Speech-to-Text
Indian Institute of Information Technology Jaipur,Azure | Express | FastAPI | Kotlin | MongoDB | OpenCV | Pandas | Socket.IO | scikit-learn,Blockchain Wallet Demo | Blog CMS | Edge Caching Simulator | Event Ticketing | Job Portal
Indian Institute of Information Technology Jodhpur,AWS | C | Matplotlib | Python | React | Swift | Terraform,Blockchain Wallet Demo | Blog CMS | Note Taking App | Spam Filter
